,dt,const,LeadR,MidR,LagR,Lead,ex_Lead,Mid,ex_Mid,Lag,ex_Lag,LL,ex_LL,LLStrong,ex_LLStrong,mktrf,smb,hml,rf
0,19720131,1,0.02588464305351764,0.027900294457035336,0.008135043631581408,33.98127969341832,30.501279693418322,36.40006137763956,32.92006137763956,12.68176038709488,9.201760387094879,21.29951930632344,21.29951930632344,-12.36347566134168,-12.36347566134168,2.49,6.11,2.03,0.29
1,19720229,1,0.054071645659457684,0.017870025488794065,0.036488204419470864,70.71121750979582,67.71121750979582,27.269273304999363,24.269273304999363,49.61108802181163,46.61108802181163,21.10012948798416,21.10012948798416,7.417432230266161,7.417432230266161,2.87,1.38,-2.76,0.25
2,19720330,1,0.02380823799631148,-0.0014409777942145565,0.02828417856140748,28.56988559557368,25.32988559557368,-1.7291733530573998,-4.9691733530574,33.94101427368888,30.701014273688877,-5.37112867811508,-5.37112867811508,-14.899817622007921,-14.899817622007921,0.63,-0.27,-1.69,0.27
3,19720428,1,0.012421677713027577,0.004786537059166818,-0.010640747832879036,17.80456398027072,14.324563980270721,8.64239519563776,5.162395195637761,-9.87034667481708,-13.350346674817079,27.67491065508792,27.67491065508792,21.29857490622456,21.29857490622456,0.29,0,0.22,0.29
4,19720531,1,0.021549861312477755,0.017493138029221932,-0.0013931916678239168,28.75139984003352,25.15139984003352,23.88333190012656,20.283331900126562,1.2197362636716,-2.3802637363283994,27.53166357636192,27.53166357636192,13.469280638024761,13.469280638024761,1.25,-2.79,-2.69,0.3
5,19720630,1,-0.005248658269760764,-0.02785269631122009,-0.030564875876530364,-3.4137745390974,-6.8937745390974,-30.538620188848558,-34.01862018884856,-33.79323566722092,-37.273235667220916,30.37946112812352,30.37946112812352,54.256880775453354,54.256880775453354,-2.43,0.33,-2.48,0.29
6,19720731,1,-0.024063200038068343,0.0016399727693707537,-0.008768460585874268,-25.99814220395556,-29.71814220395556,4.845665164971121,1.125665164971121,-7.644454861322761,-11.364454861322761,-18.3536873426328,-18.3536873426328,-3.50841869995452,-3.50841869995452,-0.8,-2.88,0.77,0.31
7,19720831,1,0.019589555876427224,0.023996358898040072,0.067937681932783,26.378280448841878,22.898280448841877,31.666444074777246,28.186444074777246,84.39603171646883,80.91603171646882,-58.01775126762685,-58.01775126762685,-46.9920405955626,-46.9920405955626,3.26,-4.07,4.68,0.29
8,19720929,1,-0.011400342141203522,-0.016093960988047353,-0.0035526660791896925,-7.952486941759079,-12.032486941759078,-13.58482955797164,-17.66482955797164,1.46472433265736,-2.6152756673426403,-9.417211274416559,-9.417211274416559,7.079073195186719,7.079073195186719,-1.14,-2.69,0.49,0.34
9,19721031,1,0.005441118728370158,-0.004112508756412458,0.044081733000778014,9.37969876858092,4.5796987685809185,-2.08465421315808,-6.884654213158081,55.74843589547041,50.94843589547041,-46.36873712688936,-46.36873712688936,-27.349233383730244,-27.349233383730244,0.52,-2.71,1.32,0.4
10,19721130,1,0.05602716096640256,0.038089709742120594,0.056180874636615044,72.91979695115207,68.47979695115207,51.3948554820138,46.954855482013805,73.10425335540708,68.66425335540708,-0.18445640425488,-0.18445640425488,1.4690810219139598,1.4690810219139598,4.6,-1.12,4.78,0.37
11,19721229,1,0.012421985188879608,0.010854560406182061,0.000720849723941974,17.73657090590088,13.29657090590088,15.855661166663882,11.415661166663883,3.69520834797576,-0.7447916520242397,14.041362557925119,14.041362557925119,3.63298857077484,3.63298857077484,0.62,-1.86,-2.29,0.37
12,19730131,1,0.0026126814821351638,-0.04103719411621555,-0.037583399775488205,8.7822766020918,3.5022766020917997,-43.597574115929035,-48.877574115929036,-39.45302090705616,-44.73302090705616,48.235297509147955,48.235297509147955,47.90733869040204,47.90733869040204,-3.29,-3.5,2.68,0.44
13,19730228,1,-0.05221344181281769,-0.05449881356942229,-0.019733471652555477,-54.22521682643509,-59.14521682643509,-56.9676629343606,-61.8876629343606,-15.24925263412032,-20.16925263412032,-38.97596419231464,-38.97596419231464,-44.505767532091326,-44.505767532091326,-4.85,-3.99,1.68,0.41
14,19730330,1,0.007887059594443933,-0.023999580466698527,-0.021178121273251194,20.62726221100704,15.10726221100704,-17.63670586236384,-23.15670586236384,-14.25095483022696,-19.77095483022696,34.878217041234116,34.878217041234116,43.90082470684896,43.90082470684896,-1.29,-2.87,2.84,0.46
15,19730430,1,-0.038960104818198935,-0.05376640648097399,-0.07091077439527624,-38.4571949062626,-44.6971949062626,-56.22475690159272,-62.46475690159272,-76.79799839875537,-83.03799839875536,38.34080349249276,38.34080349249276,52.02894538129812,52.02894538129812,-5.68,-3.98,5.66,0.52
16,19730531,1,-0.014508260205630959,-0.025278295186841555,-0.03157761032185605,-11.91792140007516,-18.03792140007516,-24.84196337752788,-30.96196337752788,-32.40114153954528,-38.521141539545276,20.48322013947,20.48322013947,-11.889878896196882,-11.889878896196882,-2.94,-6.11,0.19,0.51
17,19730629,1,0.0017190669275100982,-0.016403794402200123,-0.04706703521032038,10.263335893877759,4.143335893877759,-11.484097701774362,-17.60409770177436,-48.279986671518714,-54.39998667151871,58.54332256539647,58.54332256539647,59.88710327533716,59.88710327533716,-1.56,-2.94,1.43,0.51
18,19730731,1,0.07831023225873354,0.04571149106306366,0.060597012420748206,93.9722787104802,86.29227871048019,54.85378927567632,47.17378927567632,72.71641490489785,65.03641490489784,21.25586380558236,21.25586380558236,48.695939213225515,48.695939213225515,5.04,7.86,-5.18,0.64
19,19730831,1,-0.06694842823020049,-0.04996638835339284,-0.02549212818522777,-58.618656862665965,-67.01865686266596,-38.24020901049672,-46.64020901049672,-8.87109680869872,-17.27109680869872,-49.74756005396724,-49.74756005396724,-51.71485952982733,-51.71485952982733,-3.84,-2.05,1.18,0.7
20,19730928,1,0.051993102129153576,0.0385168109525199,0.07759602935546821,67.7250558883176,59.5650558883176,51.55350647635716,43.39350647635716,98.44856855989512,90.28856855989513,-30.72351267157752,-30.72351267157752,-36.23369240717879,-36.23369240717879,4.75,2.92,2.11,0.68
21,19731031,1,0.007233506638873129,-0.019177167605801793,0.017879542448794316,19.299676993196403,11.499676993196402,-12.393132100413359,-20.193132100413358,32.07491996510184,24.27491996510184,-12.775242971905321,-12.775242971905321,-12.877304038609077,-12.877304038609077,-0.86,-0.17,1.74,0.65
22,19731130,1,-0.13019036062878336,-0.12697378870620965,-0.12597750906744248,-148.33369591243476,-155.05369591243476,-144.47380960534633,-151.19380960534633,-143.27827403882566,-149.99827403882566,-5.05542187360896,-5.05542187360896,0.6515125731681601,0.6515125731681601,-12.74,-7.71,4,0.56
23,19731231,1,-0.0182163588457116,0.01566882296098222,-0.02089566264586553,-11.402114274984719,-19.08211427498472,29.260103893047717,21.580103893047717,-14.617278835169401,-22.2972788351694,3.21516456018468,3.21516456018468,11.927724373809962,11.927724373809962,0.58,-5.33,4.25,0.64
24,19740131,1,-0.010531580500392802,-0.014504527895425938,-0.005523479320431993,0.32106668246591996,-7.23893331753408,-4.446470191573799,-12.0064701915738,6.330788098418879,-1.2292119015811211,-6.009721415952959,-6.009721415952959,-21.36693255444852,-21.36693255444852,-0.17,9.87,5.86,0.63
25,19740228,1,-0.003101993055572583,-0.009617452240385729,-0.003274853586268339,9.0981211538256,2.138121153825601,1.2795701320498798,-5.680429867950119,8.89068851699076,1.9306885169907613,0.20743263683484,0.20743263683484,-3.22994472915192,-3.22994472915192,-0.48,0.01,2.55,0.58
26,19740329,1,-0.002896530767134706,-0.03933682123709398,-0.03838269480597191,9.2091525086136,2.4891525086136,-34.51919605533732,-41.23919605533732,-33.37424433799092,-40.09424433799092,42.583396846604636,42.583396846604636,44.02597231538796,44.02597231538796,-2.81,2.49,-0.09,0.56
27,19740430,1,-0.013528647796709826,-0.060606423432809114,-0.0401835031263782,-8.70299660291352,-17.702996602913522,-65.19632736623268,-74.19632736623268,-40.688822998515484,-49.688822998515484,31.98582639560196,31.98582639560196,49.19988436247532,49.19988436247532,-5.29,-0.72,1.01,0.75
28,19740531,1,-0.004916578841034242,-0.052806322821546646,-0.062031616217333656,6.574117864771201,-2.4258821352287994,-50.893574911843565,-59.893574911843565,-61.96392698678797,-70.96392698678797,68.53804485155928,68.53804485155928,59.606577922397044,59.606577922397044,-4.67,-3.04,-2.07,0.75
29,19740628,1,-0.021463128238724687,-0.031073264889031508,-0.01792097278310399,-15.87921067659312,-23.07921067659312,-27.411374656961286,-34.61137465696129,-11.62862412984828,-18.82862412984828,-4.25058654674472,-4.25058654674472,11.1703086667578,11.1703086667578,-2.83,-0.16,0.79,0.6
30,19740731,1,-0.12796215322738624,-0.08139694569299816,-0.002863087648051147,-146.2076450973534,-154.6076450973534,-90.32939605608767,-98.72939605608767,3.9112335978485997,-4.488766402151398,-150.1188786952021,-150.1188786952021,-190.24111998867144,-190.24111998867144,-8.05,0.88,5.21,0.7
31,19740830,1,-0.12847164012710244,-0.08738960229543946,-0.09441029712953045,-139.56150567787788,-146.76150567787786,-90.26306027988227,-97.46306027988227,-98.68789408079147,-105.88789408079147,-40.8736115970864,-40.8736115970864,-25.8584083807074,-25.8584083807074,-9.35,-0.7,2.57,0.6
32,19740930,1,-0.1546152037942049,-0.12334212602390318,-0.09907246553809086,-168.70457721837636,-178.42457721837636,-131.1768838940143,-140.8968838940143,-102.05329131103944,-111.77329131103944,-66.6512859073368,-66.6512859073368,-55.318268980596244,-55.318268980596244,-11.77,0.26,5.52,0.81
33,19741031,1,0.16273300209509958,0.14912473349350347,0.2062350506180813,204.7657685220245,198.6457685220245,188.43584620010913,182.31584620010912,256.96822674960265,250.84822674960265,-52.20245822757804,-52.20245822757804,-48.88249364938319,-48.88249364938319,16.1,-3.5,-9.72,0.51
34,19741129,1,-0.050794064697525294,-0.05031677954741721,-0.049316119450504785,-49.18817175467736,-55.66817175467736,-48.61542957454764,-55.09542957454764,-47.41463745825276,-53.89463745825276,-1.7735342964246,-1.7735342964246,-2.3322320375142,-2.3322320375142,-4.51,-1.19,-0.08,0.54
35,19741231,1,-0.058759457075605724,-0.034579331316931236,-0.005592855024054962,-61.190960141212315,-69.59096014121232,-32.17480923080292,-40.57480923080292,2.6089623206483994,-5.791037679351599,-63.79992246186084,-63.79992246186084,-69.99270068078052,-69.99270068078052,-3.44,-4.84,0.06,0.7
36,19750131,1,0.18636334753321632,0.1378649693506539,0.05589714214178562,232.88457195315445,225.92457195315444,174.68651813407956,167.72651813407956,76.32512548343759,69.3651254834376,156.55944646971682,156.55944646971682,186.307387110873,186.307387110873,13.66,11.02,8.21,0.58
37,19750228,1,0.040457063740439635,0.0719007075051912,0.01723877623842412,55.43184168929256,50.27184168929256,93.16421420699437,88.00421420699438,27.569896686873964,22.409896686873964,27.861945002418597,27.861945002418597,23.903740778228283,23.903740778228283,5.56,0.17,-4.53,0.43
