,dt,LeadR,MidR,LagR,Lead,Mid,Lag,LL,LLStrong,mktrf,smb,hml,ALeadR,AMidR,ALagR,ALead,AMid,ALag,ALL,ALLStrong,dtt,ex_LL,ex_LLStrong,rf,_merge,ex_Lead,ex_Mid,ex_Lag
0,19720131,0.02588464305351764,0.027900294457035336,0.008135043631581408,0.02831773307784865,0.030333384481366344,0.010568133655912417,0.017749599421936234,-0.010302896384451461,2.49,6.11,2.03,31.06157166422112,33.48035334844236,9.76205235789768,33.98127969341832,36.40006137763956,12.68176038709488,21.29951930632344,-12.36347566134168,197201,21.29951930632344,-12.36347566134168,0.29,both,30.501279693418322,32.92006137763956,9.201760387094879
1,19720229,0.054071645659457684,0.017870025488794065,0.036488204419470864,0.05892601459149652,0.022724394420832898,0.0413425733515097,0.01758344123998682,0.006181193525221819,2.87,1.38,-2.76,64.88597479134913,21.4440305865528,43.785845303364965,70.71121750979582,27.269273304999363,49.61108802181163,21.10012948798416,7.417432230266161,197202,21.10012948798416,7.417432230266161,0.25,both,67.71121750979582,24.269273304999363,46.61108802181163
2,19720330,0.02380823799631148,-0.0014409777942145565,0.02828417856140748,0.02380823799631148,-0.0014409777942145565,0.02828417856140748,-0.004475940565095999,-0.012416514685006687,0.63,-0.27,-1.69,28.56988559557368,-1.7291733530573998,33.94101427368888,28.56988559557368,-1.7291733530573998,33.94101427368888,-5.37112867811508,-14.899817622007921,197203,-5.37112867811508,-14.899817622007921,0.27,both,25.32988559557368,-4.9691733530574,30.701014273688877
3,19720428,0.012421677713027577,0.004786537059166818,-0.010640747832879036,0.014837136650225655,0.007201995996364896,-0.008225288895680957,0.023062425545906613,0.017748812421853867,0.29,0.0,0.22,14.906013255632999,5.743844471000161,-12.768897399454799,17.80456398027072,8.64239519563776,-9.87034667481708,27.67491065508792,21.29857490622456,197204,27.67491065508792,21.29857490622456,0.29,both,14.324563980270721,5.162395195637761,-13.350346674817079
4,19720531,0.021549861312477755,0.017493138029221932,-0.0013931916678239168,0.023959499866694697,0.019902776583438874,0.001016446886393025,0.02294305298030167,0.011224400531687339,1.25,-2.79,-2.69,25.85983357497324,20.99176563506628,-1.67183000138868,28.75139984003352,23.88333190012656,1.2197362636716,27.53166357636192,13.469280638024761,197205,27.53166357636192,13.469280638024761,0.3,both,25.15139984003352,20.283331900126562,-2.3802637363283994
5,19720630,-0.005248658269760764,-0.02785269631122009,-0.030564875876530364,-0.002844812115914507,-0.025448850157373835,-0.028161029722684108,0.025316217606769602,0.04521406731287789,-2.43,0.33,-2.48,-6.29838992371284,-33.423235573464,-36.67785105183636,-3.4137745390974,-30.538620188848558,-33.79323566722092,30.37946112812352,54.256880775453354,197206,30.37946112812352,54.256880775453354,0.29,both,-6.8937745390974,-34.01862018884856,-37.273235667220916
6,19720731,-0.024063200038068343,0.0016399727693707537,-0.008768460585874268,-0.021665118503296398,0.004038054304142699,-0.0063703790511023236,-0.015294739452194075,-0.0029236822499621017,-0.8,-2.88,0.77,-28.875840045681954,1.9679673232448398,-10.52215270304904,-25.99814220395556,4.845665164971121,-7.644454861322761,-18.3536873426328,-3.50841869995452,197207,-18.3536873426328,-3.50841869995452,0.31,both,-29.71814220395556,1.125665164971121,-11.364454861322761
7,19720831,0.019589555876427224,0.023996358898040072,0.067937681932783,0.021981900374034948,0.026388703395647795,0.07033002643039073,-0.04834812605635578,-0.03916003382963553,3.26,-4.07,4.68,23.507467051712638,28.795630677648,81.52521831933961,26.378280448841878,31.666444074777246,84.39603171646883,-58.01775126762685,-46.9920405955626,197208,-58.01775126762685,-46.9920405955626,0.29,both,22.898280448841877,28.186444074777246,80.91603171646882
8,19720929,-0.011400342141203522,-0.016093960988047353,-0.0035526660791896925,-0.0066270724514659535,-0.011320691298309784,0.0012206036105478766,-0.00784767606201383,0.005899227662655644,-1.14,-2.69,0.49,-13.680410569444199,-19.31275318565676,-4.26319929502752,-7.952486941759079,-13.58482955797164,1.46472433265736,-9.417211274416559,7.079073195186719,197209,-9.417211274416559,7.079073195186719,0.34,both,-12.032486941759078,-17.66482955797164,-2.6152756673426403
9,19721031,0.005441118728370158,-0.004112508756412458,0.044081733000778014,0.00781641564048418,-0.0017372118442984354,0.04645702991289204,-0.03864061427240786,-0.02279102781977521,0.52,-2.71,1.32,6.529342474044119,-4.93501050769488,52.8980796009336,9.37969876858092,-2.08465421315808,55.74843589547041,-46.36873712688936,-27.349233383730244,197210,-46.36873712688936,-27.349233383730244,0.4,both,4.5796987685809185,-6.884654213158081,50.94843589547041
10,19721130,0.05602716096640256,0.038089709742120594,0.056180874636615044,0.060766497459293495,0.04282904623501153,0.06092021112950598,-0.0001537136702124825,0.0012242341849283966,4.6,-1.12,4.78,67.23259315968299,45.7076516905446,67.41704956393801,72.91979695115207,51.3948554820138,73.10425335540708,-0.18445640425488,1.4690810219139598,197211,-0.18445640425488,1.4690810219139598,0.37,both,68.47979695115207,46.954855482013805,68.66425335540708
11,19721229,0.012421985188879608,0.010854560406182061,0.000720849723941974,0.014780475754917482,0.013213050972219935,0.003079340289979848,0.011701135464937635,0.0030274904756457926,0.62,-1.86,-2.29,14.906382226655518,13.0254724874184,0.86501966873028,17.73657090590088,15.855661166663882,3.69520834797576,14.041362557925119,3.63298857077484,197212,14.041362557925119,3.63298857077484,0.37,both,13.29657090590088,11.415661166663883,-0.7447916520242397
12,19730131,0.0026126814821351638,-0.04103719411621555,-0.037583399775488205,0.007318563835076501,-0.03633131176327421,-0.03287751742254687,0.04019608125762337,0.0399227822420017,-3.29,-3.5,2.68,3.13521777856212,-49.2446329394586,-45.10007973058584,8.7822766020918,-43.597574115929035,-39.45302090705616,48.235297509147955,47.90733869040204,197301,48.235297509147955,47.90733869040204,0.44,both,3.5022766020917997,-48.877574115929036,-44.73302090705616
13,19730228,-0.05221344181281769,-0.05449881356942229,-0.019733471652555477,-0.0451876806886959,-0.0474730524453005,-0.012707710528433688,-0.03247997016026221,-0.03708813961007616,-4.85,-3.99,1.68,-62.65613017538112,-65.39857628330662,-23.68016598306648,-54.22521682643509,-56.9676629343606,-15.24925263412032,-38.97596419231464,-44.505767532091326,197302,-38.97596419231464,-44.505767532091326,0.41,both,-59.14521682643509,-61.8876629343606,-20.16925263412032
14,19730330,0.007887059594443933,-0.023999580466698527,-0.021178121273251194,0.017189385175839254,-0.014697254885303204,-0.011875795691855874,0.029065180867695127,0.03658402058904082,-1.29,-2.87,2.84,9.46447151333268,-28.799496560038197,-25.41374552790132,20.62726221100704,-17.63670586236384,-14.25095483022696,34.878217041234116,43.90082470684896,197303,34.878217041234116,43.90082470684896,0.46,both,15.10726221100704,-23.15670586236384,-19.77095483022696
15,19730430,-0.038960104818198935,-0.05376640648097399,-0.07091077439527624,-0.032047662421885545,-0.0468539640846606,-0.06399833199896285,0.031950669577077304,0.043357454484415116,-5.68,-3.98,5.66,-46.752125781838686,-64.51968777716868,-85.09292927433142,-38.4571949062626,-56.22475690159272,-76.79799839875537,38.34080349249276,52.02894538129812,197304,38.34080349249276,52.02894538129812,0.52,both,-44.6971949062626,-62.46475690159272,-83.03799839875536
16,19730531,-0.014508260205630959,-0.025278295186841555,-0.03157761032185605,-0.009931601166729372,-0.020701636147939968,-0.027000951282954464,0.017069350116225093,-0.00990823241349745,-2.94,-6.11,0.19,-17.40991224675708,-30.3339542242098,-37.8931323862272,-11.91792140007516,-24.84196337752788,-32.40114153954528,20.48322013947,-11.889878896196882,197305,20.48322013947,-11.889878896196882,0.51,both,-18.03792140007516,-30.96196337752788,-38.521141539545276
17,19730629,0.0017190669275100982,-0.016403794402200123,-0.04706703521032038,0.008552779911564872,-0.00957008141814535,-0.040233322226265605,0.04878610213783048,0.049905919396114315,-1.56,-2.94,1.43,2.062880313012,-19.68455328264012,-56.480442252384364,10.263335893877759,-11.484097701774362,-48.279986671518714,58.54332256539647,59.88710327533716,197306,58.54332256539647,59.88710327533716,0.51,both,4.143335893877759,-17.60409770177436,-54.39998667151871
18,19730731,0.07831023225873354,0.04571149106306366,0.060597012420748206,0.07831023225873354,0.04571149106306366,0.060597012420748206,0.017713219837985336,0.040579949344354604,5.04,7.86,-5.18,93.9722787104802,54.85378927567632,72.71641490489785,93.9722787104802,54.85378927567632,72.71641490489785,21.25586380558236,48.695939213225515,197307,21.25586380558236,48.695939213225515,0.64,both,86.29227871048019,47.17378927567632,65.03641490489784
19,19730831,-0.06694842823020049,-0.04996638835339284,-0.02549212818522777,-0.048848880718888335,-0.03186684084208069,-0.007392580673915616,-0.04145630004497272,-0.04309571627485613,-3.84,-2.05,1.18,-80.33811387624048,-59.95966602407137,-30.590553822273243,-58.618656862665965,-38.24020901049672,-8.87109680869872,-49.74756005396724,-51.71485952982733,197308,-49.74756005396724,-51.71485952982733,0.7,both,-67.01865686266596,-46.64020901049672,-17.27109680869872
20,19730928,0.051993102129153576,0.0385168109525199,0.07759602935546821,0.05643754657359805,0.042961255396964375,0.08204047379991268,-0.02560292722631463,-0.03019474367264908,4.75,2.92,2.11,62.3917225549842,46.22017314302388,93.11523522656184,67.7250558883176,51.55350647635716,98.44856855989512,-30.72351267157752,-36.23369240717879,197309,-30.72351267157752,-36.23369240717879,0.68,both,59.5650558883176,43.39350647635716,90.28856855989513
21,19731031,0.007233506638873129,-0.019177167605801793,0.017879542448794316,0.016083064160997036,-0.010327610083677887,0.026729099970918224,-0.010646035809921187,-0.010731086698840993,-0.86,-0.17,1.74,8.68020796664772,-23.01260112696204,21.45545093855316,19.299676993196403,-12.393132100413359,32.07491996510184,-12.775242971905321,-12.877304038609077,197310,-12.775242971905321,-12.877304038609077,0.65,both,11.499676993196402,-20.193132100413358,24.27491996510184
22,19731130,-0.13019036062878336,-0.12697378870620965,-0.12597750906744248,-0.12361141326036233,-0.12039484133778863,-0.11939856169902148,-0.004212851561340852,0.0005429271443068706,-12.74,-7.71,4.0,-156.22843275453997,-152.36854644745154,-151.17301088093086,-148.33369591243476,-144.47380960534633,-143.27827403882566,-5.05542187360896,0.6515125731681601,197311,-5.05542187360896,0.6515125731681601,0.56,both,-155.05369591243476,-151.19380960534633,-149.99827403882566
23,19731231,-0.0182163588457116,0.01566882296098222,-0.02089566264586553,-0.009501761895820637,0.024383419910873182,-0.012181065695974566,0.0026793038001539284,0.00993977031150831,0.58,-5.33,4.25,-21.85963061485392,18.80258755317864,-25.0747951750386,-11.402114274984719,29.260103893047717,-14.617278835169401,3.21516456018468,11.927724373809962,197312,3.21516456018468,11.927724373809962,0.64,both,-19.08211427498472,21.580103893047717,-22.2972788351694
24,19740131,-0.010531580500392802,-0.014504527895425938,-0.005523479320431993,0.00026755556872162036,-0.003705391826311514,0.00527565674868243,-0.00500810117996081,-0.017805777128707165,-0.17,9.87,5.86,-12.63789660047136,-17.405433474511078,-6.6281751845182795,0.32106668246591996,-4.446470191573799,6.330788098418879,-6.009721415952959,-21.36693255444852,197401,-6.009721415952959,-21.36693255444852,0.63,both,-7.23893331753408,-12.0064701915738,-1.2292119015811211
25,19740228,-0.003101993055572583,-0.009617452240385729,-0.003274853586268339,0.007581767628188063,0.0010663084433749168,0.007408907097492307,0.00017286053069575594,-0.0026916206076266678,-0.48,0.01,2.55,-3.722391666687,-11.54094268846284,-3.92982430352196,9.0981211538256,1.2795701320498798,8.89068851699076,0.20743263683484,-3.22994472915192,197402,0.20743263683484,-3.22994472915192,0.58,both,2.138121153825601,-5.680429867950119,1.9306885169907613
26,19740329,-0.002896530767134706,-0.03933682123709398,-0.03838269480597191,0.007674293757178088,-0.028765996712781183,-0.02781187028165912,0.035486164038837205,0.03668831026282331,-2.81,2.49,-0.09,-3.4758369205616395,-47.204185484512685,-46.05923376716628,9.2091525086136,-34.51919605533732,-33.37424433799092,42.583396846604636,44.02597231538796,197403,42.583396846604636,44.02597231538796,0.56,both,2.4891525086136,-41.23919605533732,-40.09424433799092
27,19740430,-0.013528647796709826,-0.060606423432809114,-0.0401835031263782,-0.007252497169094608,-0.0543302728051939,-0.033907352498762984,0.026654855329668374,0.04099990363539617,-5.29,-0.72,1.01,-16.23437735605176,-72.72770811937093,-48.22020375165385,-8.70299660291352,-65.19632736623268,-40.688822998515484,31.98582639560196,49.19988436247532,197404,31.98582639560196,49.19988436247532,0.75,both,-17.702996602913522,-74.19632736623268,-49.688822998515484
28,19740531,-0.004916578841034242,-0.052806322821546646,-0.062031616217333656,0.005478431553976098,-0.042411312426536306,-0.051636605822323316,0.057115037376299416,0.04967214826866426,-4.67,-3.04,-2.07,-5.8998946092410405,-63.36758738585592,-74.43793946080032,6.574117864771201,-50.893574911843565,-61.96392698678797,68.53804485155928,59.606577922397044,197405,68.53804485155928,59.606577922397044,0.75,both,-2.4258821352287994,-59.893574911843565,-70.96392698678797
29,19740628,-0.021463128238724687,-0.031073264889031508,-0.01792097278310399,-0.013232675563827605,-0.022842812214134426,-0.00969052010820691,-0.0035421554556206956,0.009308590555631584,-2.83,-0.16,0.79,-25.755753886469524,-37.2879178668378,-21.505167339724682,-15.87921067659312,-27.411374656961286,-11.62862412984828,-4.25058654674472,11.1703086667578,197406,-4.25058654674472,11.1703086667578,0.6,both,-23.07921067659312,-34.61137465696129,-18.82862412984828
30,19740731,-0.12796215322738624,-0.08139694569299816,-0.002863087648051147,-0.12183970424779457,-0.07527449671340647,0.0032593613315405412,-0.12509906557933512,-0.15853426665722625,-8.05,0.88,5.21,-153.55458387286342,-97.67633483159773,-3.4357051776613203,-146.2076450973534,-90.32939605608767,3.9112335978485997,-150.1188786952021,-190.24111998867144,197407,-150.1188786952021,-190.24111998867144,0.7,both,-154.6076450973534,-98.72939605608767,-4.488766402151398
31,19740830,-0.12847164012710244,-0.08738960229543946,-0.09441029712953045,-0.11630125473156495,-0.07521921689990196,-0.08223991173399295,-0.034061342997572006,-0.02154867365058953,-9.35,-0.7,2.57,-154.16596815252288,-104.86752275452729,-113.29235655543648,-139.56150567787788,-90.26306027988227,-98.68789408079147,-40.8736115970864,-25.8584083807074,197408,-40.8736115970864,-25.8584083807074,0.6,both,-146.76150567787786,-97.46306027988227,-105.88789408079147
32,19740930,-0.1546152037942049,-0.12334212602390318,-0.09907246553809086,-0.14058714768198033,-0.10931406991167861,-0.08504440942586629,-0.05554273825611404,-0.04609855748383021,-11.77,0.26,5.52,-185.53824455304587,-148.0105512286837,-118.88695864570897,-168.70457721837636,-131.1768838940143,-102.05329131103944,-66.6512859073368,-55.318268980596244,197409,-66.6512859073368,-55.318268980596244,0.81,both,-178.42457721837636,-140.8968838940143,-111.77329131103944
