,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193101,25.58,23.44,21.74,-99.99,29.35,24.3,19.83,10.84,8.08,7.26,21.57,10.33,7.21,15.6,24.1,3.93,5.66,7.7,8.96,9.24,14.55,7.04,9.76,7.34,4.33
193102,28.12,24.41,44.17,32.21,18.57,12.32,19.6,14.83,7.64,24.81,9.65,21.13,14.07,12.3,23.77,17.89,13.06,9.51,11.6,11.97,-99.99,5.98,6.25,6.04,14.11
193103,-7.88,-2.76,-17.14,-10.1,-8.43,2.21,-7.78,-5.73,-5.15,-6.29,5.34,-6.62,-11.99,-8.43,-6.63,-3.61,-8.02,-7.8,-10.99,-11.9,-99.99,-7.96,-9.98,-7.39,-4.29
193104,-19.73,-16.08,-16.97,-24.62,-10.75,-19.52,-12.34,-16.2,-16.48,-19.57,-18.99,-14.87,-16.43,-18.04,-15.46,-7.53,-16.07,-16.51,-16.05,-13.59,-99.99,-10.37,-9.6,-6.7,-10.22
193105,-9.87,-21.68,-5.73,-17.59,-11.78,-11.82,-15.65,-13.33,-13.21,-24.31,-19.83,-12.34,-16.44,-13.33,-17.85,-26.78,-17.97,-14.02,-15.04,-17.96,-99.99,-10,-14.88,-10.99,-14.06
193106,21.47,30.91,35.34,13.33,17.33,22.69,14.62,22.11,15.8,29.7,13.12,16.14,23.19,14.73,21.99,28.46,28.7,21.91,22.83,17.6,-99.99,9.58,17.63,12.85,14.18
193107,-1.32,-9.82,-6.09,-15.38,-7.99,-6.3,-3.54,-8.52,-6.73,-12.05,-2.06,-11.91,-9.78,-6.65,-14.12,-4.34,-6.45,-6.99,-8.43,-6.37,-99.99,1.93,-8.07,-7.4,-6.75
193108,-2.68,-3.09,2.02,-7.8,-99.99,-11.24,-5.32,7.56,-0.49,5.67,-4.01,-2.92,-4.93,0.81,-1.92,2.02,-4.35,2.59,-1.66,1.33,-99.99,-0.54,1.59,-0.28,-0.13
193109,-31.97,-27.63,-30.55,-22.66,-29.79,-34.28,-31.34,-31.63,-31.92,-8.73,-39.48,-34.45,-39.15,-27.51,-35.52,-46.05,-35.02,-30.5,-21.73,-32.56,-40,-35.71,-28.41,-25.44,-29.92
193110,10.71,1.67,0.65,20,21.21,11.19,5.07,12.73,15.34,30.48,29.3,13.89,17.31,9.8,9.23,15.92,15.73,6.54,4.3,13.91,-99.99,32.17,5.82,8.03,7.84
193111,-11.17,-11.36,-4.37,-18.03,-14.13,-8.43,-6.54,-9.79,-8.47,-6.15,-6.28,-11.15,-14.42,-8.05,-4.71,17.06,-6.22,-12.09,-8.39,-8.66,-13.85,-8.7,-11.93,-10.98,-7.47
193112,-20.3,-23.55,-20.58,-29.6,-99.99,-20.14,-24.68,-25.05,-25.58,-18.41,-12.6,-19.18,-18.52,-17.71,-20.43,-28.89,-19.54,-20.08,-10.66,-10.52,-14.29,-16.46,-20.51,-14.63,-11.1
193201,29.54,27.64,3.33,100,-99.99,4.89,11.85,17.6,16.16,-6.6,4.9,2.44,10.54,8.5,1.95,6.58,7.8,7.41,1.09,-1.03,0,-5.81,1.12,2.33,-4.56
193202,0,-4.83,-2.76,-1.24,23.81,2.49,1.44,3.69,-1.63,6.94,7.52,1.63,-4.51,1.59,2.11,-1.47,0.73,2.7,3.22,3.94,0,0.38,7.25,2.91,7.8
193203,-13.36,-8.19,-10.2,-6.97,-26.96,-13.39,-17.72,-8.69,-9.84,-6.84,-26.38,-12.85,-16.58,-9.02,-15.93,-11.27,-14.54,-9.19,-8.24,-8.23,0,7.66,-14.44,-8.89,-12.35
