dtt,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,dt,LeadR,MidR,LagR,Lead,Mid,Lag,LL,LLStrong,mktrf,smb,hml,ALeadR,AMidR,ALagR,ALead,AMid,ALag,ALL,ALLStrong,ex_LL,ex_LLStrong,rf,_merge,ex_Ind1,ex_Ind2,ex_Ind3,ex_Ind4,ex_Ind5,ex_Ind6,ex_Ind7,ex_Ind8,ex_Ind9,ex_Ind10,ex_Ind11,ex_Ind12,ex_Ind13,ex_Ind14,ex_Ind15,ex_Ind16,ex_Ind17,ex_Ind18,ex_Ind19,ex_Ind20,ex_Ind21,ex_Ind22,ex_Ind23,ex_Ind24,ex_Ind25,ex_Ind26,ex_Ind27,ex_Ind28,ex_Ind29,ex_Ind30,constant
1972-01-01,0.37,2.87,5.8,9.94,1.31,3.21,5.19,2.63,4.43,7.16,1.65,4.35,3.27,2.31,3.05,14.05,7.79,9.2,0.04,-0.32,1.01,5.81,8.5,-1.21,6.38,7.01,-0.79,9.27,0.84,10.65,19720131,0.02588464305351764,0.027900294457035336,0.008135043631581408,0.02831773307784865,0.030333384481366344,0.010568133655912417,1.77495994219362,-0.010302896384451461,2.49,6.11,2.03,31.06157166422112,33.48035334844236,9.76205235789768,33.98127969341832,36.40006137763956,12.68176038709488,21.29951930632344,-12.36347566134168,21.29951930632344,-12.36347566134168,0.29,both,0.08000000000000002,2.58,5.51,9.65,1.02,2.92,4.9,2.34,4.14,6.87,1.3599999999999999,4.06,2.98,2.02,2.76,13.760000000000002,7.5,8.91,-0.24999999999999997,-0.61,0.72,5.52,8.21,-1.5,6.09,6.72,-1.08,8.98,0.55,10.360000000000001,1
1972-02-01,3.82,6.47,8.32,7.2,6.25,6.57,2.19,7.12,2.62,1.93,3.13,6.83,3.61,3.11,-0.18,1.87,6.6,-3.52,2.68,-2.5,0.24,2.46,1.85,3.94,3.2,4.88,5.64,6.33,0.04,3.61,19720229,0.054071645659457684,0.017870025488794065,0.036488204419470864,0.05892601459149652,0.022724394420832898,0.0413425733515097,1.75834412399868,0.006181193525221819,2.87,1.38,-2.76,64.88597479134913,21.4440305865528,43.785845303364965,70.71121750979582,27.269273304999363,49.61108802181163,21.10012948798416,7.417432230266161,21.10012948798416,7.417432230266161,0.25,both,3.57,6.22,8.07,6.95,6.0,6.32,1.94,6.87,2.37,1.68,2.88,6.58,3.36,2.86,-0.43,1.62,6.35,-3.77,2.43,-2.75,-0.010000000000000009,2.21,1.6,3.69,2.95,4.63,5.39,6.08,-0.21,3.36,1
1972-03-01,0.1,-2.28,3.03,-1.09,-1.72,4.14,-2.42,0.46,2.43,-0.2,0.93,0.28,1.52,3.33,4.8,-1.02,0.42,-12.42,-5.36,-0.14,-0.33,-3.11,1,3.18,-0.21,1.02,2.15,2.96,5.13,0.69,19720330,0.02380823799631148,-0.0014409777942145565,0.02828417856140748,0.02380823799631148,-0.0014409777942145565,0.02828417856140748,-0.44759405650959,-0.012416514685006687,0.63,-0.27,-1.69,28.56988559557368,-1.7291733530573998,33.94101427368888,28.56988559557368,-1.7291733530573998,33.94101427368888,-5.37112867811508,-14.899817622007921,-5.37112867811508,-14.899817622007921,0.27,both,-0.17,-2.55,2.76,-1.36,-1.99,3.8699999999999997,-2.69,0.19,2.16,-0.47000000000000003,0.66,0.010000000000000009,1.25,3.06,4.529999999999999,-1.29,0.14999999999999997,-12.69,-5.630000000000001,-0.41000000000000003,-0.6000000000000001,-3.38,0.73,2.91,-0.48,0.75,1.88,2.69,4.859999999999999,0.41999999999999993,1
1972-04-01,2.04,2.38,6.41,0.57,2.86,2.33,-1.32,1.1,2.13,-1.61,1.97,0.21,3.9,6.17,-2.57,-1.48,-0.22,4.27,-0.74,-2.8,-1.06,-1.62,0.8,0.77,2.05,3.07,-1.26,1.98,2.56,3.81,19720428,0.012421677713027577,0.004786537059166818,-0.010640747832879036,0.014837136650225655,0.007201995996364896,-0.008225288895680957,2.3062425545906597,0.017748812421853867,0.29,0.0,0.22,14.906013255632999,5.743844471000161,-12.768897399454799,17.80456398027072,8.64239519563776,-9.87034667481708,27.67491065508792,21.29857490622456,27.67491065508792,21.29857490622456,0.29,both,1.75,2.09,6.12,0.27999999999999997,2.57,2.04,-1.61,0.81,1.8399999999999999,-1.9000000000000001,1.68,-0.07999999999999999,3.61,5.88,-2.86,-1.77,-0.51,3.9799999999999995,-1.03,-3.09,-1.35,-1.9100000000000001,0.51,0.48000000000000004,1.7599999999999998,2.78,-1.55,1.69,2.27,3.52,1
1972-05-01,0.3,4.96,2.91,5.65,1.68,4.04,-5.82,3.71,1.33,-2.87,-3.2,-1.45,2.26,1.88,-3.02,1.88,3.27,-8.27,3.74,-0.17,1.24,-0.75,3.84,2.44,1.59,1.04,1.22,4.39,-1.87,-1.11,19720531,0.021549861312477755,0.017493138029221932,-0.0013931916678239168,0.023959499866694697,0.019902776583438874,0.001016446886393025,2.2943052980301597,0.011224400531687339,1.25,-2.79,-2.69,25.85983357497324,20.99176563506628,-1.67183000138868,28.75139984003352,23.88333190012656,1.2197362636716,27.53166357636192,13.469280638024761,27.53166357636192,13.469280638024761,0.3,both,0.0,4.66,2.6100000000000003,5.3500000000000005,1.38,3.74,-6.12,3.41,1.03,-3.17,-3.5,-1.75,1.9599999999999997,1.5799999999999998,-3.32,1.5799999999999998,2.97,-8.57,3.4400000000000004,-0.47,0.94,-1.05,3.54,2.14,1.29,0.74,0.9199999999999999,4.09,-2.17,-1.4100000000000001,1
1972-06-01,-1.33,6.08,-0.67,-2.26,-3.28,-1.02,-3.54,2.54,-3.92,0.67,-3.29,-5.42,-1.68,-1.48,-2.78,-4.46,-0.63,-13.29,-0.81,-1.56,-2.64,-5.36,-2.53,-1.94,-9.6,-5.34,-4.14,-0.19,-3.82,-6.66,19720630,-0.005248658269760764,-0.02785269631122009,-0.030564875876530364,-0.002844812115914507,-0.025448850157373835,-0.028161029722684108,2.53162176067696,0.04521406731287789,-2.43,0.33,-2.48,-6.29838992371284,-33.423235573464,-36.67785105183636,-3.4137745390974,-30.538620188848558,-33.79323566722092,30.37946112812352,54.256880775453354,30.37946112812352,54.256880775453354,0.29,both,-1.62,5.79,-0.96,-2.55,-3.57,-1.31,-3.83,2.25,-4.21,0.38000000000000006,-3.58,-5.71,-1.97,-1.77,-3.07,-4.75,-0.9199999999999999,-13.579999999999998,-1.1,-1.85,-2.93,-5.65,-2.82,-2.23,-9.889999999999999,-5.63,-4.43,-0.48,-4.109999999999999,-6.95,1
1972-07-01,1.22,-1.93,-5.18,-3.98,-5.79,0.98,-4.04,3.1,-0.3,-2.71,-2.49,-3.89,-0.66,-4.19,-0.99,0.75,-3.81,-11.1,-0.95,0.05,0.74,-2.78,0.98,2.51,-4.33,-5.08,-2.06,-8.72,-1.01,-2.61,19720731,-0.024063200038068343,0.0016399727693707537,-0.008768460585874268,-0.021665118503296398,0.004038054304142699,-0.0063703790511023236,-1.5294739452194,-0.0029236822499621017,-0.8,-2.88,0.77,-28.875840045681954,1.9679673232448398,-10.52215270304904,-25.99814220395556,4.845665164971121,-7.644454861322761,-18.3536873426328,-3.50841869995452,-18.3536873426328,-3.50841869995452,0.31,both,0.9099999999999999,-2.2399999999999998,-5.489999999999999,-4.29,-6.1,0.6699999999999999,-4.35,2.79,-0.61,-3.02,-2.8000000000000003,-4.2,-0.97,-4.5,-1.3,0.44,-4.12,-11.41,-1.26,-0.26,0.43,-3.09,0.6699999999999999,2.1999999999999997,-4.64,-5.39,-2.37,-9.030000000000001,-1.32,-2.92,1
1972-08-01,0.96,5.2,-2.74,-2.54,0.07,-0.8,-0.01,1.05,7.58,-2.84,0.9,8.4,4.86,0.48,4.31,2.62,3.25,11.24,12.46,5.95,5.18,0.52,2.95,1.06,0.77,2.15,-0.56,-1.85,6.02,4.99,19720831,0.019589555876427224,0.023996358898040072,0.067937681932783,0.021981900374034948,0.026388703395647795,0.07033002643039073,-4.8348126056355705,-0.03916003382963553,3.26,-4.07,4.68,23.507467051712638,28.795630677648,81.52521831933961,26.378280448841878,31.666444074777246,84.39603171646883,-58.01775126762685,-46.9920405955626,-58.01775126762685,-46.9920405955626,0.29,both,0.6699999999999999,4.91,-3.0300000000000002,-2.83,-0.21999999999999997,-1.09,-0.3,0.76,7.29,-3.13,0.6100000000000001,8.110000000000001,4.57,0.19,4.02,2.33,2.96,10.950000000000001,12.170000000000002,5.66,4.89,0.23000000000000004,2.66,0.77,0.48000000000000004,1.8599999999999999,-0.8500000000000001,-2.14,5.7299999999999995,4.7,1
1972-09-01,-1.31,-0.39,-7.51,-2.93,-1.6,1.75,-3.18,-0.43,-4.6,-3.69,-2.78,-3.93,-1.5,-2.13,-1.12,-2.17,-2.89,-15.33,-0.06,0.18,4.27,-3.03,-1.15,-2.44,-6.42,-3.59,-0.21,0.35,-0.19,-4.12,19720929,-0.011400342141203522,-0.016093960988047353,-0.0035526660791896925,-0.0066270724514659535,-0.011320691298309784,0.0012206036105478766,-0.78476760620138,0.005899227662655644,-1.14,-2.69,0.49,-13.680410569444199,-19.31275318565676,-4.26319929502752,-7.952486941759079,-13.58482955797164,1.46472433265736,-9.417211274416559,7.079073195186719,-9.417211274416559,7.079073195186719,0.34,both,-1.6500000000000001,-0.73,-7.85,-3.27,-1.9400000000000002,1.41,-3.52,-0.77,-4.9399999999999995,-4.03,-3.1199999999999997,-4.2700000000000005,-1.84,-2.4699999999999998,-1.4600000000000002,-2.51,-3.23,-15.67,-0.4,-0.16000000000000003,3.9299999999999997,-3.3699999999999997,-1.49,-2.78,-6.76,-3.9299999999999997,-0.55,0.009999999999999953,-0.53,-4.46,1
1972-10-01,2.01,-3.79,-1.07,-0.15,-3.6,2.08,-1.24,1.5,0.11,0.91,-0.76,-1.9,-0.97,2.47,-3.45,-1.58,-0.36,-4.93,3.18,6.77,2.27,-2.15,-3.46,3.2,2.93,-0.79,0.68,4.49,1.63,-1.43,19721031,0.005441118728370158,-0.004112508756412458,0.044081733000778014,0.00781641564048418,-0.0017372118442984354,0.04645702991289204,-3.86406142724078,-0.02279102781977521,0.52,-2.71,1.32,6.529342474044119,-4.93501050769488,52.8980796009336,9.37969876858092,-2.08465421315808,55.74843589547041,-46.36873712688936,-27.349233383730244,-46.36873712688936,-27.349233383730244,0.4,both,1.6099999999999999,-4.19,-1.4700000000000002,-0.55,-4.0,1.6800000000000002,-1.6400000000000001,1.1,-0.29000000000000004,0.51,-1.1600000000000001,-2.3,-1.37,2.0700000000000003,-3.85,-1.98,-0.76,-5.33,2.7800000000000002,6.369999999999999,1.87,-2.55,-3.86,2.8000000000000003,2.5300000000000002,-1.19,0.28,4.09,1.23,-1.83,1
